SampleId,SampleName,OnyxDesignDnaId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,DesignCategory,DesignFractionalAbundanceMappedDesigns,DesignRepresentationMappedDesigns,Log10DesignRepresentationMappedDesigns,ForwardReadCount,ReverseReadCount,DesignCollides,AmpliconType,ContainerNumber,EstimatedAmpliconSize,InscriptaChemistrySOPVersion,StrainFunction,Var1,Var2,Var3,Var4
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,276847,299,0.00036577250173711355,3.6584565623746097,0.5632979029301592,edit,0.00036818805913174115,3.6818805913174115,0.5660696996017672,0,299,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,276955,0,0.0,0.0,-inf,edit,0.0,0.0,-inf,0,0,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,276980,117,0.00014312837024495748,1.4315699591900648,0.1558125763518912,edit,0.0001440735883558987,1.4407358835589872,0.15858437302349926,0,117,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,276998,64,7.829244184339555e-05,0.7830810033176423,-0.10619331141038325,edit,7.880948422886767e-05,0.7880948422886767,-0.10342151473877524,0,64,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,277051,55,6.728256720916805e-05,0.6729602372260988,-0.17201059590002665,edit,6.772690050918315e-05,0.6772690050918315,-0.16923879922841856,0,55,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,277138,29,3.5476262710288606e-05,0.35483357962830664,-0.44997528749531435,edit,3.571054754120566e-05,0.3571054754120566,-0.44720349082370636,0,29,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,277265,4,4.893277615212222e-06,0.048942562707352644,-1.310313294066308,edit,4.925592764304229e-06,0.04925592764304229,-1.3075414973947,0,4,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,277298,270,0.00033029623902682497,3.3036229827463033,0.5189904787647168,edit,0.0003324775115905355,3.324775115905355,0.5217622754363249,0,270,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,277348,69,8.440903886241082e-05,0.844259206701833,-0.0735241946570152,edit,8.496647518424796e-05,0.8496647518424796,-0.07075239798540706,0,69,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,277509,82,0.00010031219111185055,1.0033225355007291,0.0014405669894462282,edit,0.00010097465166823669,1.009746516682367,0.004212363661054258,0,82,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,277524,70,8.563235826621388e-05,0.8564948473786712,-0.06727524538001363,edit,8.619787337532401e-05,0.8619787337532401,-0.06450344870840559,0,70,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,277744,82,0.00010031219111185055,1.0033225355007291,0.0014405669894462282,edit,0.00010097465166823669,1.009746516682367,0.004212363661054258,0,82,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,277794,40,4.893277615212221e-05,0.4894256270735264,-0.3103132940663081,edit,4.925592764304229e-05,0.4925592764304229,-0.30754149739470005,0,40,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,277847,29,3.5476262710288606e-05,0.35483357962830664,-0.44997528749531435,edit,3.571054754120566e-05,0.3571054754120566,-0.44720349082370636,0,29,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,277992,129,0.00015780820309059415,1.5783976473121226,0.19821642490497848,edit,0.0001588503666488114,1.588503666488114,0.20098822157658658,0,129,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,278313,68,8.318571945860776e-05,0.8320235660249948,-0.07986437268803417,edit,8.37350769931719e-05,0.837350769931719,-0.07709257601642608,0,68,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,278389,32,3.914622092169777e-05,0.39154050165882115,-0.40722330707436444,edit,3.940474211443383e-05,0.39404742114433833,-0.40445151040275645,0,32,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,278662,161,0.0001969544240122919,1.9699381489709438,0.2944525906375792,edit,0.00019825510876324523,1.9825510876324524,0.2972243873091873,0,161,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,278727,107,0.0001308951762069269,1.309213552421683,0.11701049229093913,edit,0.00013175960644513812,1.3175960644513813,0.11978228896254724,0,107,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
