SampleId,SampleName,OnyxDesignDnaId,DesignSetId,NumberOfDesigns,DesignId,UniqueId,MappedDesign,OnyxEditReadCount,ReferenceReadCount,RawReferenceReadCount,OtherReadCount,RawOtherReadCount,TotalSpanningReadCount,RawTotalSpanningReadCount,RawEditGenomeTotalWithDuplicates,RawReferenceGenomeTotalWithDuplicates,DuplicateBiasCorrection,FracOnyxEditReadCount,FracReferenceReadCount,FracOtherReadCount,ExpectedTotalReadCount,RawEditRate,PvalueRaw,PvalueNormalized,BinomialEditCall,BinomialEditCallQuality,Comments,RepresentativeDesign,DesignCategory,ConsensusEditCoverage,ConsensusWTCoverage,ConsensusFractionEdit,ConsensusPValue,ConsensusCallNotes,OtherEditReadCount,OtherRefReadCount,OtherNeighborReadCount,DesignPlasmidCoverage,DesignPlasmidReferenceCoverage,ImproperOrClippedEditReads,ImproperOrClippedReferenceReads,EditedHASpanningFragments,ContainerNumber,InscriptaChemistrySOPVersion,Organism,StrainFunction,Var1,Var2,Var3,Var4
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277988,SPB00001|277988,True,0,4111.399954258113,6424,0.0,0,4111.399954258113,6424,0,7622,1.0,0.0,1.0,0.0,23299.122633699953,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277988,edit,0.0,7964.0,0.0,1.0,EGEWNotSpanned,0,0,0,177.0,177.0,0,205,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277989,SPB00001|277989,True,0,5334.9026501978515,6566,0.0,0,5334.9026501978515,6566,0,7808,1.0,0.0,1.0,0.0,23858.286120052537,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277989,edit,0.0,7654.0,0.0,1.0,EGEWNotSpanned,0,0,0,115.0,114.0,0,215,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277990,SPB00001|277990,True,0,6282.69385488895,6564,1.0,1,6283.69385488895,6565,0,7634,1.0,0.0,0.9998408579375295,0.00015914206247046272,26094.932820218874,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277990,edit,0.0,7077.0,0.0,1.0,EGEWNotSpanned,0,0,1,67.0,67.0,0,332,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277991,SPB00001|277991,True,0,5707.879330274098,6550,0.0,0,5707.879330274098,6550,0,7571,1.0,0.0,1.0,0.0,26094.932820218874,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277991,edit,0.0,7085.0,0.0,1.0,EGEWNotSpanned,0,0,0,276.0,261.0,0,423,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277992,SPB00001|277992,True,0,5296.256862491538,5575,0.0,0,5296.256862491538,5575,0,6466,1.0,0.0,1.0,0.0,22367.181879710646,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277992,edit,0.0,7052.0,0.0,1.0,EGEWNotSpanned,0,0,0,112.0,93.0,0,382,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277994,SPB00001|277994,True,1,4118.867816649745,4505,239.54347790504622,262,4359.411294554791,4768,1,5424,1.0,0.00022938877119694343,0.9448220271839223,0.05494858404488072,26094.932820218874,0.00020973154362416107,0.046552298299490584,0.04264941179278466,no_edit,4.264941E-02,,SPB00001|277994,edit,1.0,5143.0,0.00019440124416796267,0.0501298340572256,no_edit,0,262,0,103.0,101.0,0,1200,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277995,SPB00001|277995,True,0,8936.906453036385,8518,0.0,0,8936.906453036385,8518,0,10694,1.0,0.0,1.0,0.0,22739.958422811982,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277995,edit,0.0,10796.0,0.0,1.0,EGEWNotSpanned,0,0,0,93.0,93.0,0,322,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277996,SPB00001|277996,True,0,7211.840670254155,5579,0.0,0,7211.840670254155,5579,0,6863,1.0,0.0,1.0,0.0,15284.366378531227,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277996,edit,0.0,11156.0,0.0,1.0,EGEWNotSpanned,0,0,0,27.0,20.0,0,146,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277997,SPB00001|277997,True,0,5392.4164960270855,4412,640.2189092071998,524,6032.635405234285,4936,1,5769,1.0,0.0,0.8938740921336459,0.10612590786635415,20130.51585896167,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277997,edit,0.0,7231.0,0.0,1.0,EGEWNotSpanned,1,523,0,61.0,60.0,0,605,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277998,SPB00001|277998,True,0,7932.889919091225,6573,0.0,0,7932.889919091225,6573,0,7922,1.0,0.0,1.0,0.0,21621.62782752289,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277998,edit,0.0,8878.0,0.0,1.0,EGEWNotSpanned,0,0,0,392.0,379.0,1,142,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
