SampleId,SampleName,OnyxDesignDnaId,DesignSetId,NumberOfDesigns,DesignId,UniqueId,MappedDesign,OnyxEditReadCount,ReferenceReadCount,RawReferenceReadCount,OtherReadCount,RawOtherReadCount,TotalSpanningReadCount,RawTotalSpanningReadCount,RawEditGenomeTotalWithDuplicates,RawReferenceGenomeTotalWithDuplicates,DuplicateBiasCorrection,FracOnyxEditReadCount,FracReferenceReadCount,FracOtherReadCount,ExpectedTotalReadCount,RawEditRate,PvalueRaw,PvalueNormalized,BinomialEditCall,BinomialEditCallQuality,Comments,RepresentativeDesign,DesignCategory,ConsensusEditCoverage,ConsensusWTCoverage,ConsensusFractionEdit,ConsensusPValue,ConsensusCallNotes,OtherEditReadCount,OtherRefReadCount,OtherNeighborReadCount,DesignPlasmidCoverage,DesignPlasmidReferenceCoverage,ImproperOrClippedEditReads,ImproperOrClippedReferenceReads,EditedHASpanningFragments,ContainerNumber,InscriptaChemistrySOPVersion,Organism,StrainFunction,Var1,Var2,Var3,Var4
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920643,SPB00001|1920643,True,3,4470.195452769795,3266,1.0,1,4474.195452769795,3270,3,3704,1.1341090018371096,0.0006705116107841958,0.9991059845189544,0.00022350387026139862,9520.371236870466,0.0009174311926605505,2.585234768905938e-05,6.525217457344708e-05,edit,9.999347E-01,,SPB00001|1920643,edit,3.0,4507.0,0.0006651884700665188,6.680185072528213e-05,edit,0,0,1,5.0,5.0,0,124,3,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920644,SPB00001|1920644,True,0,2770.0,2770,0.0,0,2770.0,2770,0,3074,1.0,0.0,1.0,0.0,7632.955855849576,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920644,edit,0.0,4679.0,0.0,1.0,EGEWNotSpanned,0,0,0,1.0,1.0,0,71,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920645,SPB00001|1920645,True,0,2345.0,2345,1.0,1,2346.0,2346,0,2638,1.0,0.0,0.9995737425404945,0.00042625745950554135,7140.5667446589405,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920645,edit,0.0,3846.0,0.0,1.0,EGEWNotSpanned,0,0,1,1.0,1.0,0,133,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920646,SPB00001|1920646,True,0,3470.5645883230977,4009,0.0,0,3470.5645883230977,4009,0,4462,1.0,0.0,1.0,0.0,10997.394607502536,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920646,edit,0.0,4602.0,0.0,1.0,EGEWNotSpanned,0,0,0,3.0,2.0,0,85,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920647,SPB00001|1920647,True,0,3602.715810127527,3764,1.0,1,3603.715810127527,3765,0,4209,1.0,0.0,0.9997225086403346,0.0002774913596654039,11489.719279627081,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920647,edit,0.0,4068.0,0.0,1.0,EGEWNotSpanned,0,0,1,4.0,4.0,0,197,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920648,SPB00001|1920648,True,1,3439.5402376873426,2850,0.0,0,3440.5402376873426,2851,1,3202,1.0,0.0002906520287267963,0.9997093479712732,0.0,9520.371236870466,0.00035075412136092597,0.04639069863308444,0.05571165294723069,no_edit,5.571165E-02,,SPB00001|1920648,edit,1.0,3965.0,0.0002521432173474534,0.06394264201265586,no_edit,0,0,0,0.0,0.0,0,145,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920649,SPB00001|1920649,True,0,2666.0,2666,0.0,0,2666.0,2666,0,3015,1.0,0.0,1.0,0.0,8289.461873306487,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920649,edit,0.0,4102.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,71,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920650,SPB00001|1920650,True,0,1169.0,1169,0.0,0,1169.0,1169,0,1290,1.0,0.0,1.0,0.0,7058.501092936277,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920650,edit,0.0,1825.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,703,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920651,SPB00001|1920651,True,0,3112.7961932766257,3432,0.0,0,3112.7961932766257,3432,0,3850,1.0,0.0,1.0,0.0,10587.117763933013,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920651,edit,0.0,4103.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,197,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920652,SPB00001|1920652,True,0,1632.1563017944504,1807,0.0,0,1632.1563017944504,1807,0,1991,1.0,0.0,1.0,0.0,10176.83520813245,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920652,edit,0.0,2084.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,967,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
