SampleId,SampleName,OnyxDesignDnaId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,DesignCategory,DesignFractionalAbundanceMappedDesigns,DesignRepresentationMappedDesigns,Log10DesignRepresentationMappedDesigns,ForwardReadCount,ReverseReadCount,DesignCollides,AmpliconType,ContainerNumber,EstimatedAmpliconSize,InscriptaChemistrySOPVersion,StrainFunction,Var1,Var2,Var3
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,35003,5072,0.0017066804493226612,1.6742535207855307,0.22382122088647316,edit,0.0018523421793141732,1.7189735424035528,0.23526919229114304,0,5072,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34420,1693,0.0005696786278989088,0.5588547339688295,-0.2527010658782679,edit,0.0006182995484185519,0.5737819809324162,-0.24125309447359797,0,1693,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34777,4836,0.0016272686618541777,1.5963505572789483,0.20312826820153113,edit,0.001766152756144192,1.6389897577018102,0.21457623960620104,0,4836,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,33845,921,0.0003099078655020053,0.3040196160574672,-0.5170983937903542,edit,0.0003363578760150539,0.31214010894197003,-0.5056504223856844,0,921,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34113,719,0.00024193675927898135,0.2373399608526807,-0.6246291336043205,edit,0.0002625855731322734,0.24367941186674968,-0.6131811621996507,0,719,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,33962,2158,0.0007261467684618105,0.7123499798610361,-0.14730658364031124,edit,0.0007881219288170319,0.7313771499422056,-0.13585861223564136,0,2158,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34224,1932,0.0006500998872419916,0.6377479893843937,-0.1953509019077286,edit,0.0007055845998491685,0.6547825086600283,-0.18390293050305873,0,1932,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34974,3213,0.0010811443776959208,1.0606026345196984,0.025552701564314984,edit,0.001173417867140465,1.0889317807063517,0.037000672968984884,0,3213,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34238,377,0.00012685696557465363,0.12444668322873521,-0.9050166737814103,edit,0.00013768395141984294,0.12777070691761425,-0.8935687023767404,0,377,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34181,2815,0.0009472211089990716,0.9292239079280893,-0.03187962479983806,edit,0.0010280645178961747,0.9540438726076501,-0.02043165339516817,0,2815,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
