SampleId,SampleName,DesignLibraryId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,ForwardReadCount,ReverseReadCount,DesignCollides,Var1,Var2,Var3,Var4,Var5
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000047,126,2.0195048911286516e-05,0.20199087921068773,-0.6946682404439626,0,126,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000048,896,0.0001436092367024819,1.4363795854982238,0.1572692241005997,0,896,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000049,189,3.0292573366929775e-05,0.3029863188160316,-0.5185769813882812,0,189,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000050,2624,0.0004205699074858398,4.20654021467337,0.6239250451420972,0,2624,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000051,133,2.1316996073024657e-05,0.21321259472239262,-0.6711871445944396,0,133,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000052,1174,0.0001881665668400823,1.8820420015345032,0.27462931135007024,0,1174,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000053,30,4.808344978877742e-06,0.04809306647873517,-1.317917530841863,0,30,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000054,44,7.052239302354021e-06,0.07053649750214493,-1.151586109075338,0,44,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000055,3985,0.0006387084913609268,6.388362330591989,0.8053895401706057,0,3985,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000056,22,3.5261196511770106e-06,0.03526824875107246,-1.4526161047393191,0,22,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000057,166,2.660617554979017e-05,0.2661149678490013,-0.5749306975214703,0,166,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000058,295,4.728205895896446e-05,0.47291515370756254,-0.32521676958336243,0,295,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000059,26,4.167232315027376e-06,0.04168065761490382,-1.3800654375907075,0,26,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000060,121,1.939365808147356e-05,0.19397536813089855,-0.7122534152450753,0,121,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000061,87,1.3944200438745451e-05,0.139469892788332,-0.855519532942907,0,87,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000062,92,1.4745591268558408e-05,0.1474854038681212,-0.8312509582159702,0,92,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000063,37,5.9302921406158815e-06,0.059314781990440046,-1.2268370614945305,0,37,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000064,272,4.359566114182486e-05,0.4360438027405322,-0.36046988152732673,0,272,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000065,209,3.34981366861816e-05,0.3350483631351884,-0.4748924994504714,0,209,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000066,20,3.205563319251828e-06,0.03206204431915678,-1.4940087898975443,0,20,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000067,4584,0.000734715112772519,7.348620557950735,0.866205823397808,0,4584,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000068,74,1.1860584281231763e-05,0.11862956398088009,-0.9258070658305493,0,74,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000069,11,1.7630598255885053e-06,0.01763412437553623,-1.7536461004033004,0,11,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000070,64,1.0257802621605849e-05,0.10259854182130171,-0.9888588115776382,0,64,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000071,47,7.5330738002417955e-06,0.07534580415001844,-1.122940927625808,0,47,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000072,52,8.334464630054752e-06,0.08336131522980764,-1.0790354419267263,0,52,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000073,94,1.5066147600483591e-05,0.1506916083000369,-0.8219109319618267,0,94,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000074,91,1.4585313102595817e-05,0.14588230165216337,-0.8359973932404319,0,91,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000075,122,1.955393624743615e-05,0.19557847034685638,-0.7086789548867772,0,122,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000076,97,1.5546982098371367e-05,0.1555009149479104,-0.8082670512952805,0,97,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000077,137,2.1958108736875023e-05,0.21962500358622397,-0.6583182184051186,0,137,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000078,41,6.571404804466247e-06,0.06572719085427141,-1.1822549288417898,0,41,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000079,45,7.212517468316613e-06,0.07213959971810276,-1.1418262717861818,0,45,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000080,104,1.6668929260109505e-05,0.16672263045961527,-0.778005446262745,0,104,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000081,287,4.599983363126373e-05,0.4600903359798998,-0.33715688882753314,0,287,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000082,171,2.740756637960313e-05,0.2741304789287905,-0.5620426751693717,0,171,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000083,152,2.4362281226313892e-05,0.24367153682559153,-0.6131951976167529,0,152,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000084,43,6.89196113639143e-06,0.06893339528618708,-1.1615703299819389,0,43,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000085,492,7.885685765359497e-05,0.788726290251257,-0.10307368279416505,0,492,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000086,308,4.936567511647815e-05,0.49375548251501444,-0.30648806906108117,0,308,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000087,290,4.648066812915151e-05,0.4648996426277734,-0.3326407876625693,0,290,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000088,166,2.660617554979017e-05,0.2661149678490013,-0.5749306975214703,0,166,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000089,49,7.853630132166978e-06,0.07855200858193412,-1.1048427055330117,0,49,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000090,31,4.968623144840333e-06,0.04969616869469301,-1.3036770917272529,0,31,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000091,328,5.257123843572998e-05,0.5258175268341713,-0.2791649418498463,0,328,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000092,23,3.686397817139602e-06,0.0368713509670303,-1.4333109495439325,0,23,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000093,159,2.5484228388052033e-05,0.2548932523372964,-0.593641661241074,0,159,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000094,144,2.308005589861316e-05,0.23084671909792884,-0.6366762934662757,0,144,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000095,156,2.5003393890164257e-05,0.2500839456894229,-0.6019141872070639,0,156,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
